station_name,lat,lng
다대포해수욕장,35.048229,128.965919
다대포항,35.057288,128.971151
낫개,35.065179,128.979702
신장림,35.074222,128.976538
장림,35.081555,128.9773083
동매,35.089819,128.974029
신평,35.09556,128.96056
하단,35.10611,128.96667
당리,35.10333,128.97417
사하,35.09972,128.98333
괴정,35.1,128.9925
대티,35.10306,128.99972
서대신,35.11083,129.01194
동대신,35.11056,129.01757
토성,35.10083,129.01972
자갈치,35.0975,129.02694
남포,35.09778,129.03472
중앙,35.10389,129.03639
부산역,35.11528,129.03972
초량,35.12111,129.04296
부산진,35.12778,129.04778
좌천,35.13417,129.05417
범일,35.14139,129.05944
범내골,35.14722,129.05917
서면,35.15778,129.05917
부전,35.1625,129.06278
양정,35.17304,129.07119
시청(연제),35.17972,129.07667
연산,35.18611,129.08167
교대,35.19583,129.08
동래,35.20556,129.078461
명륜,35.21222,129.07944
온천장,35.22056,129.08667
부산대,35.23,129.08944
장전,35.23806,129.08806
구서,35.247407,129.091327
두실,35.25694,129.09139
남산,35.26528,129.0925
범어사,35.27333,129.09268
노포,35.28361,129.095
장산,35.17,129.17694
중동,35.16669,129.16887
해운대,35.163518,129.158584
동백,35.16147,129.147887
벡스코,35.16911,129.138431
센텀시티,35.16892,129.131764
민락,35.16722,129.121878
수영,35.16578,129.114842
광안,35.15792,129.113197
금련산,35.14989,129.111008
남천,35.14217,129.10797
경성대·부경대,35.13757,129.10055
대연,35.13512,129.09218
못골,35.13472,129.08442
지게골,35.13558,129.07436
문현,35.13911,129.06736
국제금융센터·부산은행,35.14583,129.06672
전포,35.15311,129.06533
서면,35.15768,129.058517
부암,35.15744,129.05019
가야,35.15589,129.04283
동의대,35.15411,129.0325
개금,35.15325,129.02056
냉정,35.15125,129.01228
주례,35.1505,129.00306
감전,35.15553,128.99114
사상,35.16218,128.98467
덕포,35.17378,128.98394
모덕,35.18036,128.98561
모라,35.18967,128.98864
구남,35.19681,128.99492
구명,35.20253,128.99931
덕천,35.21011,129.00533
수정,35.22336,129.00922
화명,35.23585,129.01387
율리,35.24672,129.01292
동원,35.25864,129.01242
금곡,35.26733,129.01686
호포,35.281,129.017525
증산,35.30828,129.01028
부산대양산캠퍼스,35.31697,129.01383
남양산,35.32533,129.01942
양산,35.33851,129.02643
수영,35.16775,129.11458
망미,35.17153,129.10822
배산,35.1735,129.0955
물만골,35.17681,129.08575
연산,35.18614,129.08147
거제,35.18858,129.07394
종합운동장,35.19125,129.0675
사직,35.199,129.065
미남,35.2055,129.06806
만덕,35.213,129.0365
남산정,35.21333,129.02392
숙등,35.21197,129.01275
덕천,35.210139,129.005545
구포,35.20644,128.99631
강서구청,35.21125,128.98175
체육공원,35.21261,128.96894
대저,35.21343,128.96074
미남,35.20643,129.06868
동래,35.20466,129.07741
수안,35.20183,129.08378
낙민,35.20025,129.09078
충렬사,35.19986,129.09764
명장,35.20503,129.10161
서동,35.21331,129.10769
금사,35.21583,129.11517
반여농산물시장,35.21778,129.12397
석대,35.21825,129.13717
영산대,35.22578,129.14617
윗반송,35.2325,129.15403
고촌,35.23603,129.1605
안평,35.23733,129.17183
